Life Stage Group,Vitamin A (_g/d)a,Vitamin C (mg/d),Vitamin D (_g/d),"Vitamin E (mg/d)b,c",Vitamin K,Thiamin,Riboflavin,Niacin (mg/d)c,Vitamin B6 (mg/d),Folate (_g/d)c,Vitamin B12,Pantothenic Acid,Biotin,Choline (g/d),Carotenoidsd,Arsenica,Boron (mg/d),Calcium (mg/d),Chromium,Copper (_g/d),Fluoride (mg/d),Iodine (_g/d),Iron (mg/d),Magnesium (mg/d)b,Manganese (mg/d),lbdenum (_g/d),Nickel (mg/d),Phosphorus (g/d),Selenium (_g/d),Siliconc,Vanadium (mg/d)d ,Zinc (mg/d),Sodium (g/d),Chloride (g/d),Infants,Children,Males,Females,Pregnanc,Lactation
0-6,600,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0.7,0,40,0,0,0,0,0,45,0,0,4,0,0,1,0,0,0,0,0
6-12,600,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0.9,0,40,0,0,0,0,0,60,0,0,5,0,0,1,0,0,0,0,0
1-3,600,400,63,200,0,0,0,10,30,300,0,0,0,1,0,0,3,2500,0,1000,1.3,200,40,65,2,300,0.2,3,90,0,0,7,1.5,2.3,0,1,0,0,0,0
4-8,900,650,75,300,0,0,0,15,40,400,0,0,0,1,0,0,6,2500,0,3000,2.2,300,40,110,3,600,0.3,3,150,0,0,12,1.9,2.9,0,1,0,0,0,0
9-13,1700,1200,100,600,0,0,0,20,60,600,0,0,0,2,0,0,11,3000,0,5000,10,600,40,350,6,1100,0.6,4,280,0,0,23,2.2,3.4,0,0,1,0,0,0
14-18,2800,1800,100,800,0,0,0,30,80,800,0,0,0,3,0,0,17,3000,0,8000,10,900,45,350,9,1700,1,4,400,0,0,34,2.3,3.6,0,0,1,0,0,0
19-30,3000,2000,100,1000,0,0,0,35,100,1000,0,0,0,3.5,0,0,20,2500,0,10000,10,1100,45,350,11,2000,1,4,400,0,1.8,40,2.3,3.6,0,0,1,0,0,0
31-50,3000,2000,100,1000,0,0,0,35,100,1000,0,0,0,3.5,0,0,20,2500,0,10000,10,1100,45,350,11,2000,1,4,400,0,1.8,40,2.3,3.6,0,0,1,0,0,0
51-70,3000,2000,100,1000,0,0,0,35,100,1000,0,0,0,3.5,0,0,20,2000,0,10000,10,1100,45,350,11,2000,1,4,400,0,1.8,40,2.3,3.6,0,0,1,0,0,0
>70,3000,2000,100,1000,0,0,0,35,100,1000,0,0,0,3.5,0,0,20,2000,0,10000,10,1100,45,350,11,2000,1,3,400,0,1.8,40,2.3,3.6,0,0,1,0,0,0
9-13,1700,1200,100,600,0,0,0,20,60,600,0,0,0,2,0,0,11,3000,0,5000,10,600,40,350,6,1100,0.6,4,280,0,0,23,2.2,3.4,0,0,0,1,0,0
14-18,2800,1800,100,800,0,0,0,30,80,800,0,0,0,3,0,0,17,3000,0,8000,10,900,45,350,9,1700,1,4,400,0,0,34,2.3,3.6,0,0,0,1,0,0
19-30,3000,2000,100,1000,0,0,0,35,100,1000,0,0,0,3.5,0,0,20,2500,0,10000,10,1100,45,350,11,2000,1,4,400,0,1.8,40,2.3,3.6,0,0,0,1,0,0
31-50,3000,2000,100,1000,0,0,0,35,100,1000,0,0,0,3.5,0,0,20,2500,0,10000,10,1100,45,350,11,2000,1,4,400,0,1.8,40,2.3,3.6,0,0,0,1,0,0
51-70,3000,2000,100,1000,0,0,0,35,100,1000,0,0,0,3.5,0,0,20,2000,0,10000,10,1100,45,350,11,2000,1,4,400,0,1.8,40,2.3,3.6,0,0,0,1,0,0
>70,3000,2000,100,1000,0,0,0,35,100,1000,0,0,0,3.5,0,0,20,2000,0,10000,10,1100,45,350,11,2000,1,3,400,0,1.8,40,2.3,3.6,0,0,0,1,0,0
14-18,2800,1800,100,800,0,0,0,30,80,800,0,0,0,3,0,0,17,3000,0,8000,10,900,45,350,9,1700,1,3.5,400,0,0,34,2.3,3.6,0,0,0,0,1,0
19-30,3000,2000,100,1000,0,0,0,35,100,1000,0,0,0,3.5,0,0,20,2500,0,10000,10,1100,45,350,11,2000,1,3.5,400,0,0,40,2.3,3.6,0,0,0,0,1,0
31-50,3000,2000,100,1000,0,0,0,35,100,1000,0,0,0,3.5,0,0,20,2500,0,10000,10,1100,45,350,11,2000,1,3.5,400,0,0,40,2.3,3.6,0,0,0,0,1,0
14-18,2800,1800,100,800,0,0,0,30,80,800,0,0,0,3,0,0,17,3000,0,8000,10,900,45,350,9,1700,1,4,400,0,0,34,2.3,3.6,0,0,0,0,0,1
19-30,3000,2000,100,1000,0,0,0,35,100,1000,0,0,0,3.5,0,0,20,2500,0,10000,10,1100,45,350,11,2000,1,4,400,0,0,40,2.3,3.6,0,0,0,0,0,1
31-50,3000,2000,100,1000,0,0,0,35,100,1000,0,0,0,3.5,0,0,20,2500,0,10000,10,1100,45,350,11,2000,1,4,400,0,0,40,2.3,3.6,0,0,0,0,0,1
